"ID MARCA","TIPO PRODUCTO","MARCA"
"44","Accesorio","APPLE"
"42","Accesorio","HONOR"
"9","Accesorio","JBL"
"40","Accesorio","OPPO"
"43","Accesorio","REDMI"
"32","Accesorio","SAMSUNG"
"28","Accesorio","XIAOMI"
"18","Equipo Celular","ALCATEL"
"1","Equipo Celular","APPLE"
"19","Equipo Celular","AZUMI"
"20","Equipo Celular","COOLPAD"
"33","Equipo Celular","CORN"
"34","Equipo Celular","HELLO"
"2","Equipo Celular","HONOR"
"21","Equipo Celular","HUAWEI"
"35","Equipo Celular","IPRO"
"22","Equipo Celular","LG"
"36","Equipo Celular","LOGIC"
"3","Equipo Celular","MOTOROLA"
"37","Equipo Celular","NOKIA"
"4","Equipo Celular","OPPO"
"23","Equipo Celular","REALME"
"38","Equipo Celular","REDMI"
"5","Equipo Celular","SAMSUNG"
"24","Equipo Celular","TCL"
"25","Equipo Celular","TMCELL"
"39","Equipo Celular","UNONU"
"6","Equipo Celular","VIVO"
"7","Equipo Celular","XIAOMI"
"8","Equipo Celular","ZTE"
"30","Router IFI","CLARO"
"48","Router IFI","HUAWEI"
"15","Router IFI","IFItec 3000"
"41","Router OLO","HUAWEI"
"12","Router OLO","OlTech"
"31","Router OLO","ZTE"
"29","TFI","LOGIC"
"16","TFI","Tech TFI0200"
