"id_prod","PUNTO DE VENTA","TIPO PRODUCTO","MARCA","MODELO","COLOR","TECNOLOGIA","MEMORIA INTERNA","MEMORIA RAM","TECNOLOGIA SIM","TIPO PROCESADOR","DETALLE TECNICO","DISPOSITIVO DESTINO","TIPO ACCESORIO","MATERIA","VOLTAJE","TIPO CONEXION","RUTA CAPTURA","d_extension_captura","v_peso_captura","d_dimension_captura"
"95","CIENEGUILLA","Accesorio","XIAOMI","SOUND POCKET MDZ-37-DB","BLACK","\N","\N","\N","\N","\N","Certificación IP67 contra polvo y agua","\N","Parlante","\N","5 W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-190997007110_K-20260826161527.jpg","jpg","102361.0000","width: 506 x height: 861"
"95","CIENEGUILLA","Accesorio","XIAOMI","SOUND POCKET MDZ-37-DB","BLACK","\N","\N","\N","\N","\N","Certificación IP67 contra polvo y agua","\N","Parlante","\N","5 W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-190997007110_K-20260826161527.jpg","jpg","102361.0000","width: 506 x height: 861"
"95","CIENEGUILLA","Accesorio","XIAOMI","SOUND POCKET MDZ-37-DB","BLACK","\N","\N","\N","\N","\N","Certificación IP67 contra polvo y agua","\N","Parlante","\N","5 W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-190997007110_K-20260826161527.jpg","jpg","102361.0000","width: 506 x height: 861"
"53","CIENEGUILLA","Accesorio","OPPO","G2 3W BLUETOOTH SPEAKER","NEGRO","\N","\N","\N","\N","\N","\N","\N","Parlante","\N","3W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-7021587_K-20260826101552.jpg","jpg","58256.0000","width: 530 x height: 492"
"95","CIENEGUILLA","Accesorio","XIAOMI","SOUND POCKET MDZ-37-DB","BLACK","\N","\N","\N","\N","\N","Certificación IP67 contra polvo y agua","\N","Parlante","\N","5 W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-190997007110_K-20260826161527.jpg","jpg","102361.0000","width: 506 x height: 861"
"54","CIENEGUILLA","Accesorio","REDMI","BUDS 6 LITE","BLACK","\N","\N","\N","\N","\N","Bluetooth 5.3","\N","Audífono Bluetooth","\N","40 dB","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-6941812787823_K-20260826102009.jpg","jpg","42641.0000","width: 701 x height: 592"
"86","CIENEGUILLA","Accesorio","XIAOMI","REDMI BUDS 6 PLAY","BLACK","\N","\N","\N","\N","\N","USB Tipo C","\N","Audífono Bluetooth","\N","600 mAh","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-6941812791240_K-20260826153735.jpg","jpg","34516.0000","width: 634 x height: 789"
"86","CHOSICA","Accesorio","XIAOMI","REDMI BUDS 6 PLAY","BLACK","\N","\N","\N","\N","\N","USB Tipo C","\N","Audífono Bluetooth","\N","600 mAh","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-6941812791240_K-20260826153735.jpg","jpg","34516.0000","width: 634 x height: 789"
"86","LURIN","Accesorio","XIAOMI","REDMI BUDS 6 PLAY","BLACK","\N","\N","\N","\N","\N","USB Tipo C","\N","Audífono Bluetooth","\N","600 mAh","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-6941812791240_K-20260826153735.jpg","jpg","34516.0000","width: 634 x height: 789"
"95","LURIN","Accesorio","XIAOMI","SOUND POCKET MDZ-37-DB","BLACK","\N","\N","\N","\N","\N","Certificación IP67 contra polvo y agua","\N","Parlante","\N","5 W","Bluetooth","https://expansiontecmye.pe/daavif/assets/equipos/accesorio/ACC_CODE-190997007110_K-20260826161527.jpg","jpg","102361.0000","width: 506 x height: 861"
